,car_type,price_per_day,mileage,pickupdate,pickuptime,dropoffdate,dropofftime
60,MERCEDES-AMG GLE 53,"203,66 ",inkl. 750 km,18. Dez,14:00,21. Dez,12:00
61,AUDI S8,"204,65 ",inkl. 750 km,18. Dez,14:00,21. Dez,12:00
62,BMW X7 M50,"212,99 ",inkl. 750 km,18. Dez,14:00,21. Dez,12:00
63,MERCEDES-AMG S63 L,"241,32 ",inkl. 750 km,18. Dez,14:00,21. Dez,12:00
64,MERCEDES-BENZ G500,"284,99 ",inkl. 750 km,18. Dez,14:00,21. Dez,12:00
65,BMW M850 CABRIO,"331,32 ",inkl. 750 km,18. Dez,14:00,21. Dez,12:00
66,BMW M8 CABRIO,"359,65 ",inkl. 750 km,18. Dez,14:00,21. Dez,12:00
67,BMW M8 COUPÉ,"367,65 ",inkl. 750 km,18. Dez,14:00,21. Dez,12:00
68,VW UP!,,inkl. unbegrenzt km,18. Dez,14:30,21. Dez,12:00
69,VW POLO,,inkl. unbegrenzt km,18. Dez,14:30,21. Dez,12:00
70,OPEL CROSSLAND X,"28,32 ",inkl. unbegrenzt km,18. Dez,14:30,21. Dez,12:00
71,SEAT LEON,"28,66 ",inkl. unbegrenzt km,18. Dez,14:30,21. Dez,12:00
72,VW GOLF,"29,66 ",inkl. unbegrenzt km,18. Dez,14:30,21. Dez,12:00
73,SKODA OCTAVIA COMBI,"30,33 ",inkl. unbegrenzt km,18. Dez,14:30,21. Dez,12:00
74,VW GOLF AUT.,"31,32 ",inkl. unbegrenzt km,18. Dez,14:30,21. Dez,12:00
75,BMW 1ER,"31,66 ",inkl. unbegrenzt km,18. Dez,14:30,21. Dez,12:00
76,SKODA OCTAVIA COMBI AUT.,"31,66 ",inkl. unbegrenzt km,18. Dez,14:30,21. Dez,12:00
77,VW PASSAT,"32,00 ",inkl. unbegrenzt km,18. Dez,14:30,21. Dez,12:00
78,VW TOURAN,"32,00 ",inkl. unbegrenzt km,18. Dez,14:30,21. Dez,12:00
79,FORD MONDEO KOMBI,"32,33 ",inkl. unbegrenzt km,18. Dez,14:30,21. Dez,12:00
80,VW TIGUAN,"32,66 ",inkl. 750 km,18. Dez,14:30,21. Dez,12:00
81,AUDI A3 LIMOUSINE,"33,33 ",inkl. unbegrenzt km,18. Dez,14:30,21. Dez,12:00
82,VW PASSAT AUT.,"33,66 ",inkl. unbegrenzt km,18. Dez,14:30,21. Dez,12:00
83,BMW 1ER AUT.,"33,99 ",inkl. unbegrenzt km,18. Dez,14:30,21. Dez,12:00
84,FORD S-MAX TURNIER,"33,99 ",inkl. unbegrenzt km,18. Dez,14:30,21. Dez,12:00
85,FORD MONDEO KOMBI AUT.,"34,00 ",inkl. unbegrenzt km,18. Dez,14:30,21. Dez,12:00
86,BMW 2ER COUPÉ,"34,32 ",inkl. 750 km,18. Dez,14:30,21. Dez,12:00
87,BMW X1,"34,66 ",inkl. 750 km,18. Dez,14:30,21. Dez,12:00
88,AUDI A4,"35,66 ",inkl. unbegrenzt km,18. Dez,14:30,21. Dez,12:00
89,BMW 3ER TOURING,"36,32 ",inkl. unbegrenzt km,18. Dez,14:30,21. Dez,12:00
90,AUDI A4 AUT.,"37,99 ",inkl. unbegrenzt km,18. Dez,14:30,21. Dez,12:00
91,AUDI A4 AVANT AUT.,"38,66 ",inkl. unbegrenzt km,18. Dez,14:30,21. Dez,12:00
92,MERCEDES-BENZ E200/220 AUT.,"41,98 ",inkl. unbegrenzt km,18. Dez,14:30,21. Dez,12:00
93,AUDI A5 40 COUPÉ/SPORTBACK,"42,98 ",inkl. 750 km,18. Dez,14:30,21. Dez,12:00
94,MERCEDES-BENZ E200/220 T-MODELL AUT.,"43,65 ",inkl. unbegrenzt km,18. Dez,14:30,21. Dez,12:00
95,AUDI A6 45/50 AUT.,"44,31 ",inkl. unbegrenzt km,18. Dez,14:30,21. Dez,12:00
96,BMW 530/540 TOURING AUT.,"44,32 ",inkl. unbegrenzt km,18. Dez,14:30,21. Dez,12:00
97,BMW X3 20,"44,33 ",inkl. 750 km,18. Dez,14:30,21. Dez,12:00
98,VW SHARAN,"46,98 ",inkl. unbegrenzt km,18. Dez,14:30,21. Dez,12:00
99,BMW 430/435 COUPÉ,"46,99 ",inkl. 750 km,18. Dez,14:30,21. Dez,12:00
100,BMW X4 30,"48,65 ",inkl. 750 km,18. Dez,14:30,21. Dez,12:00
101,BMW M135I,"50,32 ",inkl. 750 km,18. Dez,14:30,21. Dez,12:00
102,VW SHARAN AUT.,"51,65 ",inkl. unbegrenzt km,18. Dez,14:30,21. Dez,12:00
103,AUDI TTS COUPÉ,"52,32 ",inkl. 750 km,18. Dez,14:30,21. Dez,12:00
104,BMW M340,"56,65 ",inkl. 750 km,18. Dez,14:30,21. Dez,12:00
105,BMW M340 TOURING,"56,65 ",inkl. 750 km,18. Dez,14:30,21. Dez,12:00
106,BMW X3 M40,"66,31 ",inkl. 750 km,18. Dez,14:30,21. Dez,12:00
107,VW T6 KOMBI,"68,32 ",inkl. unbegrenzt km,18. Dez,14:30,21. Dez,12:00
108,MERCEDES-BENZ S-KLASSE AUT.,"69,33 ",inkl. unbegrenzt km,18. Dez,14:30,21. Dez,12:00
